datetime,Global_active_power,air_temperature,wind_speed,cloud_coverage,lag_1,lag_2,lag_24,rolling_mean_24,rolling_std_24,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,month_sin,month_cos
2006-12-17 17:00:00,3.406766666666667,14.898651037957423,3.2,4.0,3.3260333333333336,2.9854,4.222888888888889,2.465140277777778,0.7525212155180413,17,6,12,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-17 18:00:00,3.6971,14.070223913211233,3.2,4.0,3.406766666666667,3.3260333333333336,3.6322,2.4678444444444447,0.7570006316991515,18,6,12,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-17 19:00:00,2.9084,13.105500093621318,3.2,4.0,3.6971,3.406766666666667,3.400233333333333,2.447351388888889,0.7370567197400273,19,6,12,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-17 20:00:00,3.3615,12.070223913211233,3.2,4.0,2.9084,3.6971,3.2685666666666666,2.451223611111111,0.7417875964253833,20,6,12,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-17 21:00:00,3.040766666666667,11.03494773280115,3.2,4.0,3.3615,2.9084,3.0564666666666667,2.450569444444444,0.7412373575864909,21,6,12,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-17 22:00:00,1.518,10.070223913211235,3.2,4.0,3.040766666666667,3.3615,2.200133333333333,2.4221472222222222,0.7639865308469906,22,6,12,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-17 23:00:00,0.4377333333333333,9.241796788465045,3.2,4.0,1.518,3.040766666666667,2.0616,2.354486111111111,0.8628206071862128,23,6,12,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2006-12-18 00:00:00,0.2763666666666667,8.514563764606178,3.2,4.0,0.4377333333333333,1.518,1.8824666666666665,2.287565277777778,0.9580519801475561,0,0,12,0,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0
2006-12-18 01:00:00,0.3132999999999999,8.11496207458766,3.2,4.0,0.2763666666666667,0.4377333333333333,3.3494,2.161061111111111,1.0107469005983856,1,0,12,0,0.25881904510252074,0.9659258262890683,0.0,1.0,-2.4492935982947064e-16,1.0
2006-12-18 02:00:00,0.2844666666666667,7.9786653797439335,3.2,4.0,0.3132999999999999,0.2763666666666667,1.5872666666666668,2.106777777777778,1.0757941485321914,2,0,12,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-2.4492935982947064e-16,1.0
