datetime,meter_reading,air_temperature,dew_temperature,sea_level_pressure,wind_speed,wind_direction,cloud_coverage,lag_1,lag_2,lag_24,rolling_mean_24,rolling_std_24,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,month_sin,month_cos
2016-02-07 05:00:00,4.881,7.2,5.6,1014.6,7.2,300.0,4.0,6.8013,4.3208,10.322,6.611279166666667,2.942800215112953,5,6,2,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2016-02-07 07:00:00,4.8009,7.2,5.6,1016.2,7.2,280.0,8.0,4.881,6.8013,4.0808,6.641283333333333,2.919456645048671,7,6,2,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2016-02-09 13:00:00,3.5207,14.4,0.6,1016.1,8.2,270.0,6.0,4.8009,4.881,5.441,6.561270833333334,2.9794800801889507,13,1,2,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2016-02-10 09:00:00,10.9621,8.9,-6.1,1023.4,5.1,310.0,4.0,3.5207,4.8009,6.8013,6.734637499999999,3.112152023057287,9,2,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2016-02-11 19:00:00,3.4407,13.3,2.2,1024.7,2.6,180.0,0.0,10.9621,3.5207,4.0808,6.7079666666666675,3.1385151135482863,19,3,2,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2016-02-12 03:00:00,5.6011,5.6,4.4,1024.5,2.1,190.0,0.0,3.4407,10.9621,6.4012,6.674629166666667,3.1461553377276714,3,4,2,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2016-02-13 01:00:00,3.9208,13.3,11.1,1022.3,2.6,240.0,0.0,5.6011,3.4407,4.5609,6.647958333333334,3.167493869444898,1,5,2,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2016-02-13 09:00:00,4.1608,16.1,11.1,1024.3,5.1,330.0,2.0,3.9208,5.6011,4.7209,6.624620833333334,3.184328008555155,9,5,2,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2016-02-15 01:00:00,4.0008,13.9,10.6,1022.6,1.5,50.0,4.0,4.1608,3.9208,4.961,6.5846124999999995,3.212050120123405,1,0,2,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.8660254037844386,0.5000000000000001
2016-02-17 10:00:00,6.8013,15.6,10.6,1021.7,3.6,300.0,2.0,4.0808,4.0008,4.7209,6.681295833333333,3.1786439041063277,10,2,2,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2016-02-17 13:00:00,6.3212,20.6,10.6,1020.0,3.1,340.0,6.0,6.8013,4.0808,5.6811,6.7079666666666675,3.1725663585983734,13,2,2,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
